topic #,seat_type,coal,ncoal,topic_id,top_words
17,list,0.0346138340513804,0.0300167316937765,1168,"['million', 'haushalt', 'mittel', 'einzelplan', 'euro', 'programm', 'minist', 'bereich', 'forder', 'jahr']"
17,sum,0.05178384657183831,0.0480729396492523,1168,"['million', 'haushalt', 'mittel', 'einzelplan', 'euro', 'programm', 'minist', 'bereich', 'forder', 'jahr']"
18,direct,0.0269178842590002,0.0231250489304811,1169,"['klimaschutz', 'paris', 'klimawandel', 'ziel', 'deutschland', 'klimaschutzplan', 'gabriel', 'hendrick', 'mehr', 'frau']"
18,list,0.0435981327328671,0.0360559703377494,1169,"['klimaschutz', 'paris', 'klimawandel', 'ziel', 'deutschland', 'klimaschutzplan', 'gabriel', 'hendrick', 'mehr', 'frau']"
18,sum,0.0570570748623672,0.04761849480298995,1169,"['klimaschutz', 'paris', 'klimawandel', 'ziel', 'deutschland', 'klimaschutzplan', 'gabriel', 'hendrick', 'mehr', 'frau']"
19,direct,0.0416532128425571,0.0241499372702285,1152,"['antrag', 'link', 'grun', 'kolleg', 'fraktion', 'kolleginn', 'fdp', 'lieb', 'ford', 'spd']"
19,list,0.0378767073257486,0.03871353944063,1152,"['antrag', 'link', 'grun', 'kolleg', 'fraktion', 'kolleginn', 'fdp', 'lieb', 'ford', 'spd']"
19,sum,0.05870331374702715,0.050788508075744254,1152,"['antrag', 'link', 'grun', 'kolleg', 'fraktion', 'kolleginn', 'fdp', 'lieb', 'ford', 'spd']"
20,direct,0.0247272416093066,0.0384765996350162,1144,"['euro', 'milliard', 'geld', 'kost', 'million', 'hoh', 'sag', 'pro', 'betrag', 'jahr']"
20,list,0.0316147496499086,0.042550398983109,1144,"['euro', 'milliard', 'geld', 'kost', 'million', 'hoh', 'sag', 'pro', 'betrag', 'jahr']"
20,sum,0.0439783704545619,0.0617886988006171,1144,"['euro', 'milliard', 'geld', 'kost', 'million', 'hoh', 'sag', 'pro', 'betrag', 'jahr']"
21,direct,0.0359900223958899,0.058236631670669,1147,"['europa', 'union', 'deutsch', 'mitgliedstaat', 'vertrag', 'kommission', 'deutschland', 'gemeinsam', 'europas', 'rat']"
21,list,0.0285683830342586,0.0334325102919543,1147,"['europa', 'union', 'deutsch', 'mitgliedstaat', 'vertrag', 'kommission', 'deutschland', 'gemeinsam', 'europas', 'rat']"
21,sum,0.04656339423220355,0.0625508261272888,1147,"['europa', 'union', 'deutsch', 'mitgliedstaat', 'vertrag', 'kommission', 'deutschland', 'gemeinsam', 'europas', 'rat']"
22,direct,0.0384140768680343,0.0488983928742588,1145,"['entwicklungsland', 'international', 'global', 'china', 'nachhalt', 'entwickl', 'land', 'konferenz', 'kiotoprotokoll', 'wichtig']"
22,list,0.0377829949557949,0.0396895779938654,1145,"['entwicklungsland', 'international', 'global', 'china', 'nachhalt', 'entwickl', 'land', 'konferenz', 'kiotoprotokoll', 'wichtig']"
