,name,handle,url,additional info
208,Anja Karliczek,@AnjaKarliczek,https://twitter.com/AnjaKarliczek,CDU-MdB für den Wahlkreis Steinfurt III - Impressum:
209,Tobias M. Peterka,@TobiasMPeterka,https://twitter.com/TobiasMPeterka,"Bezirksvorsitzender Oberfranken, MdB"
210,Kai Whittaker,@Kai_Whittaker,https://twitter.com/Kai_Whittaker,🎂 Jahrgang 1985 🇩🇪 MdB (CDU) 🗂 Arbeit & Soziales ❤️ Wahlkreis
211,Michael Gerdes,@GerdesMdB,https://twitter.com/GerdesMdB,"geb. 1960, Elektrohauer, Vorsitzender der SPD Bottrop, Mitglied im"
212,Bettina Müller,@BetMueller,https://twitter.com/BetMueller,Bundestagsabgeordnete im Wahlkreis Main-Kinzig – Wetterau II –
213,Marian Wendt,@MdbWendt,https://twitter.com/MdbWendt,Seit 2013 direkt gewählter Abgeordneter im Deutschen Bundestag für
214,Ronja Kemmer,@RonjaKemmer,https://twitter.com/RonjaKemmer,Bundestagsabgeordnete für Ulm und den Alb-Donau-Kreis (WK 291)
215,Roman Müller-Böhm,@muellerboehm,https://twitter.com/muellerboehm,"Mitglied des Deutschen Bundestages, Obmann der FDP Fraktion im"
216,Ottmar von Holtz,@OWvonHoltz,https://twitter.com/OWvonHoltz,Im Bundestag für @*Die_Gruenen* <https://twitter.com/Die_Gruenen> -
217,Dietmar Bartsch,@DietmarBartsch,https://twitter.com/DietmarBartsch,"Mitglied des Bundestages, Vorsitzender der @*Linksfraktion*"
218,Uli Freese,@UliFreese,https://twitter.com/UliFreese,"Mitglied des Deutschen Bundestages - twittert selbst, oder das"
219,Markus Tressel,@MarkusTressel,https://twitter.com/MarkusTressel,Grüner Bundestagsabgeordneter aus dem Saarland // Themen: Ländliche
220,Dagmar Ziegler,@ZieglerMdB,https://twitter.com/ZieglerMdB,Parlamentarische Geschäftsführerin der @*spdbt*
221,Andreas Schwarz,@Schwarz_MdB,https://twitter.com/Schwarz_MdB,Bundestagsabgeordneter für Bamberg und Forchheim. Mitglied im
222,Thomas Erndl,@TErndl,https://twitter.com/TErndl,
223,Annalena Baerbock,@ABaerbock,https://twitter.com/ABaerbock,Bundesvorsitzende von Bündnis 90/Die Grünen * Bundestagsabgeordnete
224,Thomas Jurk,@thomas_jurk,https://twitter.com/thomas_jurk,
225,Roy Kühne,@Dr_Roy_Kuehne,https://twitter.com/Dr_Roy_Kuehne,
226,Sabine Dittmar,@dittmarsabine,https://twitter.com/dittmarsabine,
227,Waldemar Herdt,@HoldingEuropa,https://twitter.com/HoldingEuropa,
228,Axel Gehrke,@axelgehrke,https://twitter.com/axelgehrke,"Arzt, Hochschullehrer, Vorsitzender des Institutes für funktionale"
229,Hansjörg Durz,@Hansjoerg_Durz,https://twitter.com/Hansjoerg_Durz,Bundestagsabgeordneter für die Landkreise Augsburg und
230,Anna Christmann,@annachristmann,https://twitter.com/annachristmann,Grüne MdB aus Stuttgart. Mitglied im Forschungs- und im
231,Michel Brandt,@michel_brandt_,https://twitter.com/michel_brandt_,Mitglied des deutschen Bundestags (MdB) - DIE #*LINKE*
232,Gerold Otten,@ttte94,https://twitter.com/ttte94,
233,Gyde Jensen,@GydeJ,https://twitter.com/GydeJ,Mitglied @*bundestag* <https://twitter.com/bundestag> für SH🗳•
234,Corinna Rüffer,@crueffer,https://twitter.com/crueffer,Sprecherin für #*BehindertenPolitik*
235,Heribert Hirte,@HHirte,https://twitter.com/HHirte,Hier twittert der Bundestagsabgeordnete & Vorsitzende des
236,"Frank Pasemann,    ❌",@Frank_Pasemann,https://twitter.com/Frank_Pasemann,Mitglied des 19. Deutschen Bundestages (Wahlkreis 69 - #*Magdeburg*
237,Dr. Julia Verlinden,@julia_verlinden,https://twitter.com/julia_verlinden,"Member of Parliament, Sprecherin für #*Energiepolitik*"
238,Susann Rüthrich,@SusannRuethrich,https://twitter.com/SusannRuethrich,Gerecht. Echt. Rüthrich.
239,Anette Kramme,@AnetteKramme,https://twitter.com/AnetteKramme,Parlamentarische Staatssekretärin bei der Bundesministerin für
240,Andrea Lindholz,@AndreaLindholz,https://twitter.com/AndreaLindholz,Bundestagsabgeordnete der CSU für den Wahlkreis Aschaffenburg (247).
241,Renate Künast,@RenateKuenast,https://twitter.com/RenateKuenast,"Feministin, Foodie, Gärtnerin. Anwältin, Sozialarbeiterin, MdB."
242,Elisabeth Kaiser,@lier_e,https://twitter.com/lier_e,Sozialdemokratin - Europäerin
243,Saskia Esken,@EskenSaskia,https://twitter.com/EskenSaskia,Mensch ... und MdB @*spdbt* <https://twitter.com/spdbt> für
244,Thomas Nord,@NordMdb,https://twitter.com/NordMdb,Die Linke
245,StephanProtschka,@ProtschkaStepha,https://twitter.com/ProtschkaStepha,AfD steht für Recht und Gerechtigkeit!
246,Mahmut Özdemir,@oezdemir_spd,https://twitter.com/oezdemir_spd,"Mahmut Özdemir, MdB (SPD) - Direkt gewählter Abgeordneter des"
247,Joerg Cezanne,@joerg_cezanne,https://twitter.com/joerg_cezanne,
248,Markus Uhl,@uhl_markus,https://twitter.com/uhl_markus,
249,Mark Hauptmann,@MarkHauptmann,https://twitter.com/MarkHauptmann,"MdB für Hildburghausen, Schmalkalden-Meiningen, Sonneberg und Suhl"
250,Johannes Schraps,@jschraps,https://twitter.com/jschraps,Bundestagsabgeordneter für das Weserbergland; Sozialdemokrat;
251,Christian v. Stetten,@Stettenchris,https://twitter.com/Stettenchris,Bundestagsabgeordneter und Vorsitzender des PKM. Alle Informationen
252,Thomas Sattelberger,@th_sattelberger,https://twitter.com/th_sattelberger,"Mitglied des Deutschen Bundestages (FDP, München-Süd); ehem."
253,Kirsten Tackmann,@KirstenTackmann,https://twitter.com/KirstenTackmann,"geboren in THÜ, aufgewachsen in B; wohne seit 1987 in einem"
254,Florian Oßner,@Florian_Ossner,https://twitter.com/Florian_Ossner,"Dipl.-Volkswirt (Uni), MdB, Markt- und Kreisrat,"
255,Kay Gottschalk,@KayGottschalk1,https://twitter.com/KayGottschalk1,Geboren am 12.12.1965 in Hamburg Abitur und danach eine Banklehre.
256,Alexander S. Neu,@AlexanderSNeu,https://twitter.com/AlexanderSNeu,Obmann im Verteidigungsausschuss & Osteuropa-Beauftragter für die
257,Matthias Hauer,@MatthiasHauer,https://twitter.com/MatthiasHauer,Bundestagsabgeordneter (CDU) - direkt gewählt für den Essener Süden
258,Chris Kühn,@ChrisKuehn_mdb,https://twitter.com/ChrisKuehn_mdb,Sprecher für Bau- und Wohnungspolitik der Grünen Bundestagsfraktion
259,Britta Haßelmann,@BriHasselmann,https://twitter.com/BriHasselmann,Erste Parlamentarische Geschäftsführerin der Bundestagsfraktion
260,Achim Post,@Achim_P,https://twitter.com/Achim_P,"SPD-MdB für Minden-Lübbecke, Vorsitzender NRW-Landesgruppe in der"
261,Stefan Schwartze,@s_schwartze,https://twitter.com/s_schwartze,Mitglied des Deutschen Bundestags für den Wahlkreis Herford & Bad
262,Michael Roth,@MiRo_SPD,https://twitter.com/MiRo_SPD,seit 2013 Staatsminister für Europa * seit 1998
263,Michael Theurer,@EUTheurer,https://twitter.com/EUTheurer,"Stv. Vorsitzender FDP-Bundestagsfraktion, FDP-Präsidiumsmitglied,"
264,Karsten Möring,@KarstenMoering,https://twitter.com/KarstenMoering,CDU-Bundestagsabgeordneter für den Wahlkreis Köln I Stadtbezirke
265,Sylvia Pantel,@SylviaPantel,https://twitter.com/SylviaPantel,Mitglied des Deutschen Bundestages für den Wahlkreis Düsseldorf-Süd
266,Sebastian Hartmann,@sebast_hartmann,https://twitter.com/sebast_hartmann,Mitglied des Bundestages und Vorsitzender der @*NRWSPD*
267,Stefan Liebich,@berlinliebich,https://twitter.com/berlinliebich,"DIE LINKE | Außenpolitischer Sprecher | 2009, 2013 und 2017 für"
268,Metin Hakverdi,@MetinHakverdi,https://twitter.com/MetinHakverdi,http://www.metin-hakverdi.de  <https://t.co/SS12UuWDit> - SPD -
269,Arno Klare,@arnoklare,https://twitter.com/arnoklare,"Auf Kohle geboren. Für Mülheim, Essen-Borbeck & die SPD im"
270,Jan Metzler,@JanMetzler,https://twitter.com/JanMetzler,Bundestagsabgeordneter für den Wahlkreis Worms
271,Gabi Weber,@GabiWeberSPD,https://twitter.com/GabiWeberSPD,"SPD-Bundestagsabgeordnete für den Wahlkreis 204 Montabaur, unterwegs"
272,Angelika Glöckner,@A_Gloeckner,https://twitter.com/A_Gloeckner,Bundestagsabgeordnete
273,Mechthild Heil,@MechthildHeil,https://twitter.com/MechthildHeil,"Vorsitzende Ausschuss Bau, Wohnen, Stadtentwicklung und Kommunen, im"
274,Stefan Rouenhoff,@StefanRouenhoff,https://twitter.com/StefanRouenhoff,"Mitglied des Deutschen Bundestages, zuvor Handelsattaché, Wahlkreis"
275,Susanne Mittag,@susanne_mittag,https://twitter.com/susanne_mittag,"SPD Bundestagskandidatin für Oldenburg-Land, Delmenhorst und die"
276,Claudia Müller,@GruenClaudia,https://twitter.com/GruenClaudia,"Mensch, Mama, Feministin, Bundestagsabgeordnete, Mittelstand,"
277,Wilfried Oellers,@WilfriedOellers,https://twitter.com/WilfriedOellers,CDU Bundestagsabgeordneter für den Kreis Heinsberg | Impressum:
278,Gregor Gysi,@GregorGysi,https://twitter.com/GregorGysi,Vorsitzender der Partei @*europeanleft*
279,Marcus Weinberg,@MarcusWeinberg,https://twitter.com/MarcusWeinberg,Abgeordneter des Deutschen Bundestages für Hamburg-Altona
280,Ulrike Schielke-Ziesing,@ulschzi,https://twitter.com/ulschzi,Gewähltes Mitglied des Deutschen Bundestages für den Wahlkreis 17
281,Nicole Gohlke,@NicoleGohlke,https://twitter.com/NicoleGohlke,MdB #*Linke* <https://twitter.com/hashtag/Linke?src=hash> |
282,Friedrich Ostendorff,@FOstendorff,https://twitter.com/FOstendorff,Mitglied des Deutschen Bundestags #*Die_Gruenen*
283,Sylvia Gabelmann,@SylviaGabelmann,https://twitter.com/SylviaGabelmann,Abgeordnete für DIE LINKE aus NRW im deutschen Bundestag.
